time,flux
427,4.43
428,-13.45
429,-23.95
430,-16.93
431,-19.93
432,-15.36
433,-12.77
434,-7.28
435,-2.15
436,-20.56
437,-23.96
438,-10.51
439,-1.19
440,-11.98
441,0.68
442,-0.34
443,5.59
444,13.77
445,6.76
446,13.87
447,23.31
448,26.1
449,46.34
450,26.16
451,48.11
452,39.44
453,17.45
454,2.87
455,-8.21
456,18.33
457,29.24
458,19.14
459,20.61
460,16.87
461,-4.65
462,-15.69
463,-3.61
464,-16.72
465,-16.72
466,-26.17
467,-25.24
468,-25.46
469,-48.73
470,-2.48
471,-15.53
472,-6.9
473,-0.16
474,0.81
475,-5.14
476,-19.48
477,-19.48
478,-11.15
479,-17.7
480,-6.6
481,-11.8
482,-8.57
483,-7.89
484,-19.94
485,-14.83
486,-6.67
487,-21.12
488,-17.3
489,-19.07
490,-14.1
491,-18.26
492,1.76
493,-6.75
494,-9.43
495,-10.64
496,3.74
497,2.08
498,-7.84
499,-3.3
500,-8.71
501,10.48
502,-5.22
503,-3.15
504,-18.06
505,-17.69
506,-9.59
507,-3.56
508,-1.42
509,-3.43
510,15.27
511,35.1
512,-0.48
513,9.2
514,0.92
515,5.13
516,18.86
517,20.2
518,19.12
519,9.56
520,16.93
521,19.62
522,34.27
523,4.27
524,-5.71
525,4.94
526,4.69
527,-1.43
528,4.64
529,21.87
530,11.86
531,17.05
532,15.89
533,14.35
534,7.74
535,-5.57
536,-8.33
537,0.26
538,-8.42
539,-16.87
540,-0.84
541,-8.12
542,-10.01
543,0.31
544,-18.19
545,-7.37
546,-22.02
547,-14.34
548,-15.16
549,-9.55
550,-18.11
551,-11.72
552,-16.26
553,-13.23
554,8.84
555,20.72
556,2.09
557,9.76
558,9.63
559,-0.67
560,4.08
561,-10.9
562,-12.37
563,-5.02
564,12.26
565,7.41
566,-2.06
567,9.76
568,6.48
569,18.24
570,16.31
571,31.04
572,-5.94
573,-5.94
574,-5.94
575,30.86
576,18.13
577,15.62
578,27.73
579,29.06
580,19.5
581,30.99
582,29.29
583,31.89
584,18.46
585,9.25
586,19.99
587,19.2
588,11.22
589,24.3
590,23.79
591,19.48
592,13.06
593,0.45
594,-1.85
595,-2.76
596,6.05
597,11.75
598,2.59
599,2.59
600,2.59
601,2.59
602,11.01
603,-2.88
604,11.31
605,19.42
606,15.59
607,6.37
608,13.54
609,2.45
610,4.71
611,11.79
612,9.26
613,0.21
614,10.83
615,22.25
616,32.87
617,7.85
618,15.23
619,-6.69
620,6.38
621,14.37
622,23.03
623,17.61
624,22.19
625,31.85
626,25.14
627,23.48
628,41.61
629,22.54
630,17.04
631,30.13
632,34.95
633,31.77
634,15.19
635,28.88
636,19.11
637,10.2
638,20.73
639,5.07
640,17.92
641,10.5
642,14.85
643,13.67
644,30.47
645,19.34
646,16.81
647,25.89
648,28.25
649,12.15
650,16.37
651,27.39
652,7.95
653,6.41
654,11.87
655,16.38
656,16.16
657,13.06
658,2.25
659,5.36
660,-1.48
661,-6.71
662,-17.35
663,-35.87
664,-24.37
665,0.64
666,1.57
667,-16.95
668,18.24
669,18.24
670,16.28
671,18.82
672,10.95
673,8.84
674,11.22
675,14.94
676,-0.28
677,15.6
678,33.62
679,26.92
680,20.74
681,18.55
682,28.21
683,17.81
684,10.03
685,17.39
686,24.14
687,15.13
688,-7.89
689,20.89
690,9.24
691,20.01
692,17.21
693,3.58
694,18.87
695,-0.39
696,2.44
697,16.49
698,-1.95
699,-2.55
700,-7.2
701,8.38
702,1.29
703,28.63
704,7.21
705,-4.02
706,-0.05
707,12.52
708,8.52
709,4.53
710,-4.71
711,3.54
712,0.35
713,0.73
714,2.09
715,-6.35
716,14.83
717,14.83
718,25.63
719,14.9
720,19.75
721,9.3
722,4.74
723,0.83
724,17.22
725,2.38
726,9.3
727,-3.82
728,5.72
729,5.72
730,17.33
731,7.85
732,1.77
733,8.46
734,20.82
735,21.8
736,10.74
737,-9.31
738,5.39
739,8.07
740,0.51
741,-9.04
742,-10.51
743,-12.73
744,-14.47
745,-21.66
746,-9.17
747,-11.51
748,-24.29
749,-15.31
750,-4.04
751,-24.45
752,-5.73
753,-5.73
754,4.12
755,-14.96
756,21.03
757,-8.57
758,-2.37
759,-8.71
760,-3.47
761,-24.93
762,-24.93
763,-44.62
764,30.65
765,30.65
766,31.87
767,24.11
768,16.5
769,6.7
770,11.77
771,23.67
772,21.36
773,11.1
774,14.93
775,7.4
776,24.51
777,24.51
778,-5.03
779,26.22
780,9.66
781,6.04
782,22.39
783,10.55
784,9.4
785,17.01
786,21.38
787,2.07
788,26.65
789,26.65
790,22.16
791,21.85
792,8.71
793,2.99
794,8.87
795,5.11
796,-8.55
797,5.3
798,8.0
799,4.53
800,-5.06
801,-5.06
802,-5.77
803,7.92
804,3.36
805,4.13
806,22.16
807,-4.12
808,-6.72
809,0.99
810,9.98
811,-5.45
812,-0.6
813,-0.6
814,27.22
815,14.61
816,30.08
817,18.84
818,25.6
819,20.32
820,14.75
821,28.99
822,11.27
823,6.49
824,13.75
825,9.54
826,2.83
827,-13.93
828,-2.83
829,-3.23
830,-6.78
831,-14.44
832,10.51
833,4.9
834,-7.26
835,-3.54
836,-22.14
837,4.49
838,8.68
839,2.49
840,-1.15
841,-2.75
842,0.08
843,-3.22
844,-15.43
845,-4.93
846,-7.94
847,-39.68
848,20.06
849,20.06
850,20.83
851,17.57
852,5.11
853,9.79
854,15.47
855,6.5
856,-3.77
857,-2.86
858,-9.64
859,-14.71
860,33.76
861,33.76
862,45.44
863,24.05
864,16.5
865,21.0
866,15.97
867,-3.92
868,-7.9
869,0.83
870,1.89
871,-34.75
872,-27.15
873,-4.4
874,-9.26
875,-6.59
876,-11.97
877,-15.19
878,-15.71
879,-27.24
880,-14.05
881,-12.25
882,-21.51
883,-9.65
884,27.46
885,27.46
886,18.81
887,2.77
888,8.04
889,14.29
890,11.14
891,4.75
892,11.08
893,13.85
894,3.06
895,0.37
896,1.93
897,8.64
898,-4.99
899,-5.74
900,1.91
901,-13.8
902,-1.46
903,-18.61
904,-4.6
905,-17.46
906,-22.28
907,-39.01
908,29.86
909,29.86
910,22.98
911,16.08
912,12.49
913,14.91
914,4.96
915,12.02
916,24.51
917,11.93
918,13.46
919,-5.59
920,27.36
921,27.36
922,21.91
923,15.87
924,11.99
925,2.92
926,30.16
927,11.44
928,18.52
929,9.15
930,-1.79
931,14.48
932,19.79
933,6.66
934,15.97
935,7.65
936,87.04
937,17.2
938,-1.03
939,6.37
940,-17.06
941,-15.85
942,6.0
943,11.95
944,24.95
945,19.21
946,22.06
947,15.99
948,3.17
949,10.81
950,2.09
951,-4.92
952,-4.97
953,-4.23
954,-18.02
955,-18.81
956,13.13
957,13.13
958,19.9
959,20.69
960,13.34
961,17.86
962,15.15
963,4.05
964,11.22
965,7.67
966,1.83
967,-6.2
968,2.62
969,12.58
970,21.19
971,-5.27
972,6.31
973,-14.93
974,-0.8
975,-13.45
976,-13.63
977,-25.82
978,-9.22
979,-7.4
980,30.48
981,30.48
982,16.01
983,39.27
984,18.88
985,30.75
986,30.71
987,13.44
988,19.61
989,9.87
990,21.54
991,30.89
992,20.37
993,18.93
994,102.66
995,8.12
996,5.44
997,-8.51
998,-6.48
999,-6.86
1000,-5.21
1001,-11.45
1002,-5.49
1003,-4.72
1004,-3.34
1005,-4.32
1006,1.2
1007,-4.65
1008,-1.59
1009,-13.85
1010,-33.28
1011,-38.61
1012,-12.71
1013,-16.7
1014,-23.03
1015,-37.03
1016,30.56
1017,30.56
1018,16.47
1019,8.74
1020,3.41
1021,8.21
1022,-8.96
1023,-2.98
1024,-3.32
1025,-1.75
1026,-7.58
1027,-12.4
1028,39.18
1029,39.18
1030,46.03
1031,32.86
1032,20.4
1033,27.62
1034,-0.82
1035,15.15
1036,30.57
1037,33.24
1038,13.1
1039,27.25
1040,27.97
1041,27.49
1042,22.66
1043,33.84
1044,29.64
1045,18.41
1046,19.01
1047,28.93
1048,16.88
1049,0.22
1050,-12.13
1051,-0.5
1052,24.35
1053,24.35
1054,35.6
1055,33.16
1056,18.94
1057,26.75
1058,30.93
1059,10.88
1060,5.2
1061,17.03
1062,13.25
1063,16.42
1064,17.08
1065,11.42
1066,6.58
1067,8.93
1068,-10.69
1069,7.35
1070,-9.69
1071,0.27
1072,-4.78
1073,-27.7
1074,-13.89
1075,-10.63
1076,-9.68
1077,-0.79
1078,-18.57
1079,-13.87
1080,-45.46
1081,-16.69
1082,1.32
1083,-4.47
1084,-18.38
1085,3.41
1086,-8.61
1087,-14.58
1088,-2.39
1089,-2.39
1090,3.47
1091,-15.71
1092,1.34
1093,18.41
1094,-5.62
1095,4.95
1096,2.6
1097,-5.49
1098,3.79
1099,10.21
1100,50.87
1101,50.87
1102,22.16
1103,35.05
1104,10.99
1105,27.59
1106,2.37
1107,2.12
1108,6.43
1109,5.97
1110,0.48
1111,9.67
1112,3.2
1113,3.2
1114,-8.12
1115,-0.57
1116,6.91
1117,1.68
1118,46.92
1119,46.92
1120,39.2
1121,29.83
1122,37.34
1123,31.65
1124,24.61
1125,18.21
1126,12.38
1127,11.54
1128,16.16
1129,-2.38
1130,10.52
1131,18.26
1132,5.03
1133,-5.11
1134,-31.44
1135,-9.63
1136,-16.48
1137,-19.86
1138,-12.22
1139,-18.39
1140,-19.96
1141,-19.31
1142,-16.72
1143,-33.8
1144,-5.14
1145,-7.26
1146,-14.07
1147,-32.18
1148,-10.54
1149,-10.54
1150,-16.81
1151,24.52
1152,6.67
1153,7.42
1154,0.03
1155,-13.02
1156,-2.56
1157,-3.65
1158,-5.14
1159,-6.17
1160,11.24
1161,11.24
1162,15.25
1163,1.12
1164,14.64
1165,13.67
1166,28.37
1167,-1.9
1168,-4.13
1169,5.55
1170,18.32
1171,14.35
1172,62.65
1173,62.65
1174,53.94
1175,47.24
1176,47.14
1177,32.72
1178,32.97
1179,26.23
1180,31.21
1181,22.22
1182,41.46
1183,46.04
1184,40.2
1185,13.46
1186,18.04
1187,-3.33
1188,-4.01
1189,-5.11
1190,-1.17
1191,-6.14
1192,-7.66
1193,-4.84
1194,-8.27
1195,0.52
1196,3.96
1197,3.96
1198,-0.41
1199,-8.13
1200,-15.39
1201,5.01
1202,10.3
1203,11.7
1204,1.55
1205,8.88
1206,-4.16
1207,-5.76
1208,7.44
1209,7.39
1210,-0.54
1211,-11.72
1212,-10.42
1213,6.84
1214,-15.61
1215,-17.72
1216,-11.95
1217,-11.17
1218,-32.13
1219,-35.1
1220,22.34
1221,22.34
1222,21.69
1223,39.89
1224,53.38
1225,34.1
1226,32.37
1227,15.78
1228,25.49
1229,18.78
1230,17.35
1231,21.56
1232,25.44
1233,39.04
1234,36.19
1235,22.06
1236,24.27
1237,33.09
1238,12.91
1239,1.02
1240,13.35
1241,27.14
1242,17.3
1243,9.98
1244,18.03
1245,18.03
1246,41.78
1247,32.94
1248,26.94
1249,22.74
1250,22.81
1251,20.31
1252,20.92
1253,18.05
1254,20.79
1255,18.79
1256,18.51
1257,-8.84
1258,-5.56
1259,-11.97
1260,-12.72
1261,-21.36
1262,0.78
1263,1.26
1264,-8.56
1265,7.85
1266,3.7
1267,4.33
1268,4.25
1269,4.25
1270,3.49
1271,8.54
1272,-2.52
1273,-0.96
1274,-16.62
1275,-7.35
1276,1.76
1277,10.63
1278,-14.63
1279,4.79
1280,22.73
1281,22.73
1282,11.7
1283,36.72
1284,25.95
1285,13.99
1286,25.3
1287,16.73
1288,-18.18
1289,8.35
1290,-1.38
1291,26.8
1292,26.75
1293,24.37
1294,2.77
1295,5.28
1296,16.71
1297,7.56
1298,8.97
1299,25.92
1300,19.36
1301,29.25
1302,31.9
1303,11.15
1304,29.4
1305,29.4
1306,28.32
1307,24.54
1308,19.65
1309,29.44
1310,9.26
1311,-4.46
1312,6.52
1313,70.93
1314,70.93
1315,9.28
1316,15.4
1317,-9.07
1318,-7.16
1319,-6.08
1320,-4.03
1321,26.61
1322,18.66
1323,8.07
1324,5.15
1325,-25.93
1326,16.64
1327,-120.9
1328,29.98
1329,29.98
1330,11.69
1331,6.18
1332,26.24
1333,15.62
1334,-3.44
1335,16.36
1336,21.19
1337,7.11
1338,3.18
1339,11.68
1340,39.05
1341,39.05
1342,39.05
1343,36.4
1344,31.39
1345,29.63
1346,18.61
1347,26.58
1348,27.17
1349,22.68
1350,7.36
1351,10.34
1352,12.22
1353,29.75
1354,9.14
1355,9.35
1356,7.77
1357,-6.21
1358,-2.73
1359,17.63
1360,14.6
1361,15.02
1362,9.91
1363,5.65
1364,14.94
1365,23.18
1366,10.08
1367,-0.58
1368,11.0
1369,17.67
1370,6.47
1371,19.13
1372,17.66
1373,13.85
1374,23.21
1375,24.2
1376,45.52
1377,45.52
1378,31.3
1379,39.45
1380,33.25
1381,28.52
1382,26.46
1383,36.4
1384,20.51
1385,20.44
1386,9.78
1387,12.79
1388,11.21
1389,0.47
1390,11.01
1391,12.08
1392,2.18
1393,-0.78
1394,-1.55
1395,-31.75
1396,-2.3
1397,-20.19
1398,-14.57
1399,-13.11
1400,-14.21
1401,-13.55
1402,-5.25
1403,-2.01
1404,2.68
1405,-7.94
1406,7.08
1407,19.18
1408,37.19
1409,17.09
1410,-5.01
1411,-24.02
1412,10.15
1413,10.15
1414,15.98
1415,20.35
1416,13.8
1417,5.51
1418,-4.59
1419,13.36
1420,9.51
1421,6.69
1422,0.4
1423,18.02
1424,7.59
1425,-9.55
1426,215.45
1427,-35.74
1428,0.49
1429,12.83
1430,24.65
1431,25.94
1432,35.68
1433,11.12
1434,-26.77
1435,-73.24
1436,-8.05
1437,-8.05
1438,-0.53
1439,22.96
1440,8.63
1441,-12.57
1442,1.52
1443,-14.53
1444,6.46
1445,11.26
1446,-4.85
1447,-15.96
1448,-8.92
1449,-8.92
1450,2.52
1451,3.94
1452,-3.88
1453,-5.04
1454,-9.67
1455,-17.61
1456,-6.42
1457,-1.54
1458,-12.38
1459,-54.29
1460,-34.76
1461,-21.68
1462,-31.47
1463,-15.48
1464,-24.79
1465,-15.48
1466,-21.25
1467,-14.61
1468,-9.35
1469,-4.17
1470,-2.81
1471,-5.16
1472,36.38
1473,36.38
1474,74.38
1475,32.36
1476,45.31
1477,42.04
1478,32.15
1479,32.07
1480,11.48
1481,7.24
1482,24.06
1483,20.02
1484,14.65
1485,5.7
1486,-2.58
1487,4.13
1488,3.8
1489,20.49
1490,6.1
1491,11.52
1492,-3.68
1493,-1.19
1494,-1.54
1495,10.55
1496,-22.82
1497,-27.11
1498,0.46
1499,15.64
1500,12.4
1501,9.94
1502,25.43
1503,22.87
1504,41.47
1505,19.52
1506,2.32
1507,-37.83
1508,7.34
1509,7.34
1510,13.04
1511,27.26
1512,-3.59
1513,-8.27
1514,5.84
1515,-1.41
1516,-4.01
1517,-4.37
1518,0.21
1519,-5.73
1520,-13.86
1521,-27.82
1522,-26.25
1523,-26.36
1524,-24.0
1525,-19.56
1526,-28.53
1527,-18.38
1528,-13.86
1529,0.72
1530,-9.5
1531,-2.39
1532,-2.64
1533,-2.64
1534,-8.83
1535,-10.01
1536,8.67
1537,1.79
1538,2.8
1539,-8.23
1540,0.76
1541,12.82
1542,0.96
1543,-7.28
1544,-7.57
1545,13.16
1546,-7.49
1547,-6.45
1548,-3.43
1549,-26.16
1550,-19.16
1551,-28.33
1552,-22.9
1553,-41.17
1554,-0.69
1555,-19.14
1556,-3.13
1557,-22.09
1558,0.97
1559,-19.42
1560,-9.01
1561,8.02
1562,-13.56
1563,3.09
1564,20.2
1565,-5.85
1566,10.02
1567,14.26
1568,50.67
1569,50.67
1570,43.97
1571,38.44
1572,41.3
1573,36.63
1574,26.35
1575,36.44
1576,14.72
1577,22.14
1578,4.83
1579,6.22
1580,2.22
1581,9.58
1582,4.0
1583,10.7
1584,-4.14
1585,-4.6
1586,-25.19
1587,-4.12
1588,-16.86
1589,-10.97
1590,-4.45
1591,-22.64
1592,-11.8
1593,-8.13
1594,-21.14
1595,-30.4
1596,-17.99
1597,-25.41
1598,-41.3
1599,-32.96
1600,-16.35
1601,-21.16
1602,-28.74
1603,-21.61
1604,-0.65
1605,-11.43
1606,-8.17
1607,6.55
1608,11.57
1609,10.56
1610,20.1
1611,29.04
1612,22.65
1613,29.03
1614,24.65
1615,0.14
1616,-0.18
1617,-0.18
1618,-4.62
1619,24.43
1620,36.67
1621,31.6
1622,30.63
1623,41.16
1624,44.9
1625,47.13
1626,41.31
1627,47.28
1628,19.97
1629,19.97
1630,21.27
1631,10.79
1632,8.37
1633,18.63
1634,27.44
1635,-9.29
1636,5.59
1637,29.36
1638,29.04
1639,24.2
1640,74.26
1641,32.37
1642,42.23
1643,33.01
1644,16.03
1645,16.85
1646,20.91
1647,19.37
1648,25.57
1649,14.16
1650,12.69
1651,-10.37
1652,13.47
1653,-7.75
1654,-4.65
1655,-5.8
1656,0.51
1657,-0.06
1658,-1.62
1659,5.53
1660,1.41
1661,-7.94
1662,-3.62
1663,2.53
1664,-2.48
1665,7.8
1666,-10.09
1667,6.5
1668,-5.81
1669,-4.49
1670,-15.42
1671,-7.71
1672,-20.21
1673,-15.65
1674,-16.44
1675,-6.43
1676,9.06
1677,4.9
1678,-10.14
1679,-15.96
1680,-27.57
1681,-34.58
1682,-15.24
1683,-14.13
1684,-8.62
1685,-16.92
1686,-14.19
1687,-16.87
1688,-15.59
1689,-6.07
1690,-12.35
1691,-3.38
1692,-3.15
1693,-8.33
1694,-8.01
1695,-3.16
1696,-0.33
1697,13.97
1698,4.5
1699,-0.08
1700,28.65
1701,28.65
1702,19.66
1703,16.15
1704,14.35
1705,-2.85
1706,0.5
1707,18.2
1708,17.61
1709,7.99
1710,10.11
1711,-10.49
1712,-120.96
1713,-74.79
1714,-42.37
1715,-36.75
1716,-61.09
1717,-50.21
1718,-37.4
1719,-43.49
1720,-23.02
1721,-29.89
1722,-22.25
1723,-28.52
1724,1.37
1725,1.37
1726,5.68
1727,1.46
1728,1.56
1729,7.15
1730,7.0
1731,-0.47
1732,19.24
1733,-5.78
1734,0.6
1735,0.98
1736,-11.18
1737,0.39
1738,-9.41
1739,6.29
1740,9.59
1741,15.21
1742,4.47
1743,3.36
1744,24.47
1745,6.62
1746,21.28
1747,25.67
1748,13.21
1749,16.5
1750,15.76
1751,12.62
1752,8.02
1753,9.83
1754,5.59
1755,10.38
1756,9.08
1757,28.13
1758,35.35
1759,16.37
1760,16.53
1761,27.66
1762,17.57
1763,25.11
1764,29.09
1765,32.11
1766,27.91
1767,36.53
1768,15.4
1769,24.65
1770,22.07
1771,38.86
1772,14.54
1773,17.13
1774,-6.45
1775,-30.73
1776,13.99
1777,4.06
1778,-8.88
1779,-13.6
1780,-11.35
1781,-26.07
1782,-25.29
1783,-9.9
1784,-9.9
1785,-1.93
1786,-20.72
1787,-24.51
1788,-61.45
1789,-21.08
1790,-22.46
1791,-24.19
1792,-35.02
1793,-37.29
1794,-29.86
1795,-8.05
1796,-35.3
1797,-23.32
1798,-24.6
1799,-27.07
1800,-24.24
1801,-25.56
1802,-36.77
1803,-16.52
1804,-28.17
1805,-43.46
1806,-19.94
1807,-31.44
1808,-26.54
1809,-17.01
1810,-30.62
1811,29.19
1812,-36.94
1813,-24.93
1814,-18.46
1815,-33.92
1816,-26.37
1817,-16.15
1818,-14.69
1819,-23.36
1820,-19.81
1821,-19.81
1822,-19.81
1823,-10.45
1824,-10.3
1825,-10.3
1826,-13.95
1827,-14.47
1828,-12.33
1829,-21.51
1830,-19.44
1831,-23.56
1832,-23.54
1833,-21.14
1834,-25.01
1835,-39.49
1836,-51.33
1837,-27.98
1838,-37.05
1839,-38.4
1840,-29.61
1841,-34.46
1842,-34.61
1843,-42.39
1844,-51.03
1845,-48.05
1846,-26.61
1847,-25.75
1848,-35.93
1849,-28.9
1850,-6.12
1851,-19.72
1852,-19.21
1853,-1.74
1854,-7.86
1855,-12.46
1856,12.0
1857,12.0
1858,16.73
1859,8.19
1860,15.49
1861,20.97
1862,13.44
1863,8.09
1864,0.6
1865,19.0
1866,-5.96
1867,2.5
1868,0.64
1869,-7.38
1870,0.27
1871,-8.34
1872,-12.59
1873,-10.92
1874,-18.11
1875,-18.54
1876,-21.84
1877,-31.17
1878,-25.37
1879,-25.26
1880,-29.32
1881,-15.5
1882,-17.95
1883,-18.95
1884,-15.85
1885,-19.62
1886,-17.15
1887,-29.75
1888,-24.29
1889,-13.72
1890,-25.01
1891,-17.75
1892,-17.23
1893,-28.41
1894,-27.28
1895,-9.91
1896,-26.38
1897,-0.43
1898,-20.26
1899,-8.96
1900,-1.16
1901,0.35
1902,18.27
1903,9.02
1904,-2.81
1905,14.28
1906,18.23
1907,22.55
1908,35.84
1909,42.45
1910,36.85
1911,55.17
1912,56.23
1913,32.65
1914,28.86
1915,36.28
1916,-35.93
1917,-35.93
1918,-51.3
1919,-79.57
1920,-59.51
1921,-68.32
1922,-45.49
1923,-26.52
1924,-36.02
1925,-24.3
1926,-41.63
1927,-32.41
1928,-30.9
1929,-28.09
1930,-32.6
1931,-32.1
1932,-25.03
1933,-31.58
1934,-26.31
1935,-25.85
1936,-24.24
1937,-31.84
1938,-4.61
1939,-13.08
1940,-10.82
1941,-22.27
1942,-0.93
1943,2.62
1944,6.57
1945,5.39
1946,8.08
1947,12.37
1948,-4.0
1949,26.69
1950,29.81
1951,30.41
1952,-12.78
1953,-12.78
1954,-12.0
1955,-7.47
1956,-15.12
1957,-17.83
1958,-16.87
1959,-5.43
1960,-7.56
1961,-5.81
1962,-16.17
1963,-24.33
1964,-5.54
1965,-27.45
1966,-48.15
1967,-31.02
1968,-32.46
1969,-19.89
1970,-32.08
1971,-20.72
1972,-37.0
1973,-30.54
1974,-39.84
1975,-49.71
1976,-18.37
1977,-26.7
1978,-38.37
1979,-23.29
1980,-22.54
1981,-23.55
1982,-33.35
1983,-46.03
1984,-35.61
1985,-16.46
1986,-9.05
1987,-6.66
1988,-7.76
1989,-18.58
1990,-13.2
1991,-10.58
1992,-4.76
1993,-28.7
1994,5.58
1995,-8.63
1996,-12.37
1997,-5.35
1998,4.25
1999,-1.69
2000,-4.02
